,ID,quantidade_mensagens,date,active_users
0,-1001104762199,18,2022-09-28,2
1,-1001104762199,22,2022-09-29,7
2,-1001104762199,20,2022-09-30,8
3,-1001104762199,24,2022-10-03,6
4,-1001104762199,17,2022-10-04,3
5,-1001104762199,12,2022-10-10,4
6,-1001104762199,16,2022-10-14,4
7,-1001104762199,16,2022-10-16,5
8,-1001104762199,18,2022-10-17,4
9,-1001104762199,14,2022-10-18,2
10,-1001104762199,14,2022-10-24,4
11,-1001104762199,17,2022-10-25,4
12,-1001104762199,23,2022-10-26,6
13,-1001104762199,13,2022-10-28,6
14,-1001104762199,18,2022-10-29,4
15,-1001104762199,20,2022-10-30,6
16,-1001104762199,15,2022-11-27,5
17,-1001104762199,19,2022-12-04,5
18,-1001104762199,22,2022-12-05,3
19,-1001104762199,20,2022-12-08,5
20,-1001104762199,20,2022-12-09,5
21,-1001104762199,22,2022-12-10,4
22,-1001104762199,21,2022-12-15,4
23,-1001104762199,22,2022-12-18,4
24,-1001104762199,23,2022-12-22,2
25,-1001104762199,24,2022-12-30,3
26,-1001104762199,18,2022-12-31,4
27,-1001104762199,21,2023-01-12,3
28,-1001138204997,16,2022-10-01,8
29,-1001138204997,18,2022-10-02,13
30,-1001138204997,23,2022-10-03,11
31,-1001138204997,18,2022-10-08,12
32,-1001138204997,23,2022-10-22,10
33,-1001138204997,23,2022-10-25,12
34,-1001138204997,24,2022-10-26,9
35,-1001138204997,23,2022-10-27,8
36,-1001138204997,22,2022-11-11,7
37,-1001138204997,21,2022-11-14,8
38,-1001138204997,21,2022-12-16,8
39,-1001138204997,19,2022-12-30,6
40,-1001138204997,22,2023-01-01,5
41,-1001138204997,22,2023-01-09,7
42,-1001138204997,20,2023-01-11,10
43,-1001152681992,23,2022-09-25,1
44,-1001152681992,15,2022-09-27,1
45,-1001152681992,18,2022-10-06,1
46,-1001152681992,21,2022-10-07,1
47,-1001152681992,13,2022-10-08,1
48,-1001152681992,17,2022-10-10,1
49,-1001152681992,23,2022-10-13,1
50,-1001152681992,23,2022-10-15,1
51,-1001152681992,14,2022-10-16,1
52,-1001152681992,23,2022-10-17,1
53,-1001152681992,21,2022-10-18,1
54,-1001152681992,24,2022-10-20,1
55,-1001152681992,20,2022-10-26,1
56,-1001152681992,20,2022-10-28,1
57,-1001152681992,19,2022-11-11,1
58,-1001152681992,19,2022-12-29,1
59,-1001152681992,19,2022-12-30,1
60,-1001152681992,22,2022-12-31,1
61,-1001164578421,24,2023-01-03,12
62,-1001164578421,23,2023-01-04,10
63,-1001164578421,22,2023-01-05,10
64,-1001164578421,22,2023-01-06,10
65,-1001166554378,6,2022-10-13,6
66,-1001167125815,21,2022-12-21,11
67,-1001167125815,15,2023-01-15,13
68,-1001168834595,17,2022-09-26,13
69,-1001168834595,17,2022-09-28,8
70,-1001168834595,23,2022-10-01,7
71,-1001168834595,13,2022-10-03,4
72,-1001168834595,20,2022-10-04,6
73,-1001168834595,24,2022-10-05,5
74,-1001168834595,22,2022-10-06,6
75,-1001168834595,21,2022-10-09,11
76,-1001168834595,14,2022-10-13,4
77,-1001168834595,20,2022-10-16,5
78,-1001168834595,20,2022-10-21,6
79,-1001168834595,19,2022-10-23,7
80,-1001168834595,22,2022-10-24,6
81,-1001168834595,15,2022-10-26,4
82,-1001168834595,15,2022-10-27,9
83,-1001168834595,17,2022-10-31,12
84,-1001168834595,20,2022-11-04,11
85,-1001168834595,22,2022-11-21,6
86,-1001168834595,19,2022-11-27,11
87,-1001168834595,23,2022-11-28,14
88,-1001168834595,23,2023-01-03,7
89,-1001169939114,12,2022-09-25,3
90,-1001169939114,15,2022-09-26,5
91,-1001169939114,20,2022-09-29,2
92,-1001169939114,6,2022-09-30,2
93,-1001169939114,5,2022-10-02,3
94,-1001169939114,22,2022-10-07,5
95,-1001169939114,10,2022-10-08,5
96,-1001169939114,12,2022-10-09,2
97,-1001169939114,11,2022-10-10,3
98,-1001169939114,3,2022-10-11,3
99,-1001169939114,4,2022-10-12,3
100,-1001169939114,12,2022-10-13,4
101,-1001169939114,22,2022-10-15,3
102,-1001169939114,11,2022-10-16,3
103,-1001169939114,22,2022-10-17,3
104,-1001169939114,17,2022-10-20,3
105,-1001169939114,20,2022-10-21,4
106,-1001169939114,24,2022-10-23,3
107,-1001169939114,7,2022-10-24,2
108,-1001169939114,14,2022-10-25,4
109,-1001169939114,16,2022-10-29,2
110,-1001169939114,14,2022-10-30,3
111,-1001169939114,15,2022-10-31,4
112,-1001169939114,13,2022-11-01,3
113,-1001169939114,23,2022-11-02,7
114,-1001169939114,24,2022-11-09,5
115,-1001169939114,16,2022-11-11,3
116,-1001169939114,23,2022-11-13,3
117,-1001169939114,17,2022-11-18,4
118,-1001170532613,17,2022-10-09,4
119,-1001170532613,19,2022-10-27,2
120,-1001170532613,15,2022-10-30,2
121,-1001170532613,2,2022-11-07,2
122,-1001170532613,19,2022-11-09,2
123,-1001170532613,17,2022-11-15,3
124,-1001170532613,22,2022-11-16,4
125,-1001170532613,16,2022-11-19,2
126,-1001170532613,23,2022-11-22,3
127,-1001170532613,15,2022-11-25,2
128,-1001170532613,22,2022-11-30,3
129,-1001170532613,23,2022-12-06,3
130,-1001174074213,22,2022-10-08,1
131,-1001174074213,15,2022-10-12,2
132,-1001174074213,20,2022-10-14,4
133,-1001174074213,24,2022-10-15,3
134,-1001174074213,20,2022-10-26,3
135,-1001174074213,20,2022-11-05,2
136,-1001174074213,19,2022-11-06,1
137,-1001174074213,22,2022-11-17,2
138,-1001174074213,22,2022-11-20,4
139,-1001174074213,23,2022-12-04,1
140,-1001174074213,21,2022-12-10,1
141,-1001174074213,20,2022-12-17,2
142,-1001174074213,23,2022-12-20,1
143,-1001174074213,23,2023-01-04,1
144,-1001180948961,18,2022-09-28,1
145,-1001180948961,19,2022-09-29,2
146,-1001180948961,15,2022-10-02,1
147,-1001180948961,18,2022-10-22,3
148,-1001180948961,20,2022-10-23,2
149,-1001180948961,17,2022-10-24,3
150,-1001180948961,19,2022-10-25,3
151,-1001180948961,17,2022-11-11,3
152,-1001180948961,22,2022-11-21,3
153,-1001180948961,20,2022-11-24,3
154,-1001180948961,19,2022-11-27,4
155,-1001180948961,14,2022-12-02,3
156,-1001180948961,22,2022-12-22,5
157,-1001180948961,11,2022-12-24,5
158,-1001180948961,9,2022-12-28,3
159,-1001180948961,20,2022-12-30,4
160,-1001180948961,12,2023-01-04,2
161,-1001183932544,22,2022-09-27,6
162,-1001183932544,23,2022-09-29,8
163,-1001183932544,24,2022-11-25,11
164,-1001183932544,23,2022-12-30,13
165,-1001185032343,15,2022-09-25,11
166,-1001185032343,15,2022-10-05,14
167,-1001185032343,14,2022-10-09,9
168,-1001185032343,19,2022-10-15,6
169,-1001185032343,14,2022-10-16,3
170,-1001185032343,8,2022-10-17,5
171,-1001185032343,10,2022-10-19,6
172,-1001185032343,17,2022-10-20,13
173,-1001185032343,17,2022-10-22,7
174,-1001185032343,17,2022-11-17,17
175,-1001185585901,14,2022-09-25,12
176,-1001185585901,21,2022-10-02,7
177,-1001185585901,17,2022-10-03,11
178,-1001185585901,18,2022-10-04,10
179,-1001185585901,17,2022-10-05,8
180,-1001185585901,10,2022-10-06,9
181,-1001185585901,18,2022-10-20,7
182,-1001185585901,16,2022-11-03,6
183,-1001187035667,14,2022-09-30,6
184,-1001187035667,20,2022-10-03,9
185,-1001187035667,24,2022-10-09,9
186,-1001187035667,17,2022-10-11,5
187,-1001187035667,14,2022-10-21,7
188,-1001187035667,16,2022-10-22,11
189,-1001187035667,14,2022-10-23,8
190,-1001187035667,8,2022-10-26,4
191,-1001187035667,21,2022-11-04,7
192,-1001187035667,22,2022-11-12,6
193,-1001188279004,17,2023-01-07,12
194,-1001188279004,24,2023-01-12,16
195,-1001188279004,19,2023-01-14,10
196,-1001188279004,21,2023-01-15,9
197,-1001195103298,10,2022-10-02,6
198,-1001195103298,13,2022-10-09,10
199,-1001195103298,16,2022-10-10,7
200,-1001195103298,16,2022-10-11,10
201,-1001195103298,22,2022-10-14,9
202,-1001195103298,18,2022-10-20,9
203,-1001195103298,21,2022-10-21,10
204,-1001195103298,22,2022-11-12,7
205,-1001195103298,5,2022-11-14,8
206,-1001195103298,5,2022-11-15,4
207,-1001195103298,15,2022-11-20,7
208,-1001195103298,20,2022-11-21,8
209,-1001195103298,21,2022-12-03,7
210,-1001206631805,23,2022-10-22,25
211,-1001206631805,21,2022-11-13,14
212,-1001206631805,19,2022-11-23,10
213,-1001206631805,24,2022-11-25,12
214,-1001206631805,19,2022-11-28,8
215,-1001206631805,17,2022-11-30,8
216,-1001206631805,18,2022-12-02,11
217,-1001206631805,23,2022-12-09,10
218,-1001206631805,24,2022-12-12,11
219,-1001206631805,19,2022-12-27,14
220,-1001206631805,24,2023-01-15,6
221,-1001210325712,23,2022-09-26,7
222,-1001210325712,18,2022-09-27,6
223,-1001210325712,19,2022-09-30,6
224,-1001210325712,24,2022-10-04,5
225,-1001210325712,16,2022-10-07,5
226,-1001210325712,19,2022-10-13,6
227,-1001210325712,15,2022-10-17,5
228,-1001210325712,22,2022-10-21,4
229,-1001210325712,19,2022-10-28,6
230,-1001210325712,24,2022-12-24,11
231,-1001210325712,24,2022-12-27,17
232,-1001210325712,24,2023-01-14,12
233,-1001211859007,22,2022-10-31,12
234,-1001211859007,22,2022-12-05,7
235,-1001211859007,23,2022-12-16,13
236,-1001232609016,21,2022-12-24,17
237,-1001232609016,23,2023-01-01,22
238,-1001242542918,23,2022-11-05,12
239,-1001242542918,23,2022-11-08,9
240,-1001251040659,23,2022-12-11,6
241,-1001251040659,19,2022-12-14,10
242,-1001260062975,23,2022-11-05,11
243,-1001276821294,23,2022-10-01,12
244,-1001276821294,24,2022-10-02,12
245,-1001276821294,23,2022-10-04,11
246,-1001276821294,14,2022-10-11,7
247,-1001276821294,12,2022-10-18,5
248,-1001276821294,18,2022-10-20,10
249,-1001276821294,13,2022-10-22,7
250,-1001276821294,20,2022-10-24,10
251,-1001276821294,20,2022-10-25,11
252,-1001276821294,10,2022-10-26,7
253,-1001276821294,21,2022-10-29,8
254,-1001276821294,16,2022-10-31,9
255,-1001276821294,20,2022-11-28,9
256,-1001276821294,21,2022-12-02,5
257,-1001276821294,23,2023-01-07,5
258,-1001276821294,23,2023-01-09,15
259,-1001278116861,20,2022-10-28,2
260,-1001278116861,18,2022-11-17,4
261,-1001278116861,19,2023-01-10,2
262,-1001281270661,16,2022-09-27,0
263,-1001281270661,19,2022-10-05,0
264,-1001281270661,20,2022-10-06,0
265,-1001281270661,24,2022-10-08,0
266,-1001281270661,20,2022-10-28,0
267,-1001281270661,24,2022-10-29,0
268,-1001281270661,20,2022-11-24,1
269,-1001281270661,23,2022-11-26,0
270,-1001281270661,19,2022-11-28,1
271,-1001281270661,24,2022-12-02,1
272,-1001281270661,20,2022-12-05,1
273,-1001281270661,22,2022-12-14,1
274,-1001281270661,22,2022-12-16,1
275,-1001281270661,15,2022-12-19,1
276,-1001281270661,23,2022-12-20,0
277,-1001281270661,20,2022-12-21,1
278,-1001281270661,22,2022-12-22,0
279,-1001281270661,23,2022-12-23,1
280,-1001281270661,17,2022-12-24,1
281,-1001281270661,24,2022-12-26,1
282,-1001281270661,20,2023-01-03,1
283,-1001281672460,24,2022-09-25,1
284,-1001281672460,13,2022-09-29,3
285,-1001281672460,24,2022-10-05,2
286,-1001281672460,24,2022-10-07,1
287,-1001281672460,22,2022-10-09,2
288,-1001281672460,19,2022-10-18,1
289,-1001281672460,24,2022-11-19,1
290,-1001285690728,23,2022-12-16,15
291,-1001285690728,17,2022-12-24,13
292,-1001285690728,19,2023-01-14,11
293,-1001287760072,20,2022-10-01,17
294,-1001287760072,22,2022-10-04,13
295,-1001287760072,21,2022-10-16,18
296,-1001287760072,21,2022-10-25,12
297,-1001287760072,23,2022-12-07,10
298,-1001287760072,19,2022-12-09,12
299,-1001287760072,21,2022-12-10,16
300,-1001287760072,21,2022-12-11,13
301,-1001287760072,21,2022-12-19,16
302,-1001287760072,23,2022-12-20,12
303,-1001287760072,24,2022-12-21,18
304,-1001287760072,21,2022-12-23,14
305,-1001287760072,21,2022-12-24,15
306,-1001287760072,24,2022-12-28,21
307,-1001287760072,20,2022-12-30,14
308,-1001287760072,20,2022-12-31,14
309,-1001287760072,23,2023-01-01,15
310,-1001287760072,23,2023-01-04,15
311,-1001298888199,23,2022-10-22,20
312,-1001298888199,20,2022-12-05,19
313,-1001298888199,24,2022-12-16,16
314,-1001298888199,23,2022-12-19,16
315,-1001298888199,21,2023-01-06,13
316,-1001298888199,18,2023-01-07,15
317,-1001316292236,20,2022-11-23,10
318,-1001316292236,19,2022-11-29,10
319,-1001316292236,24,2022-12-17,11
320,-1001316292236,24,2022-12-22,10
321,-1001316292236,22,2023-01-10,8
322,-1001316803493,17,2022-09-26,12
323,-1001316803493,15,2022-09-27,15
324,-1001316803493,19,2022-10-03,15
325,-1001316803493,20,2022-10-06,8
326,-1001316803493,21,2022-10-10,11
327,-1001316803493,19,2022-10-13,8
328,-1001316803493,23,2022-10-16,11
329,-1001316803493,23,2022-12-05,10
330,-1001316803493,22,2022-12-08,14
331,-1001316803493,19,2022-12-10,11
332,-1001316803493,17,2022-12-19,12
333,-1001316803493,19,2022-12-21,10
334,-1001316803493,20,2022-12-27,7
335,-1001316803493,20,2022-12-28,9
336,-1001316803493,22,2022-12-29,8
337,-1001316803493,23,2023-01-04,8
338,-1001316803493,23,2023-01-06,8
339,-1001323233349,16,2022-12-22,13
340,-1001333472613,23,2022-09-27,14
341,-1001333472613,18,2022-10-06,18
342,-1001333472613,20,2022-10-10,16
343,-1001333472613,21,2022-10-11,13
344,-1001333472613,21,2022-12-14,16
345,-1001333472613,23,2022-12-17,14
346,-1001333472613,17,2022-12-21,9
347,-1001333472613,24,2022-12-23,11
348,-1001333472613,20,2022-12-24,10
349,-1001333472613,15,2022-12-26,12
350,-1001333472613,19,2023-01-06,12
351,-1001333472613,24,2023-01-13,15
352,-1001333472613,15,2023-01-14,14
353,-1001340952964,13,2022-09-28,6
354,-1001340952964,12,2022-10-23,7
355,-1001340952964,8,2022-10-25,6
356,-1001340952964,13,2022-10-26,6
357,-1001340952964,16,2022-11-01,14
358,-1001340952964,17,2022-11-03,11
359,-1001340952964,16,2022-11-04,11
360,-1001340952964,18,2022-11-06,8
361,-1001340952964,24,2022-11-10,11
362,-1001340952964,21,2022-11-12,10
363,-1001340952964,24,2022-11-14,11
364,-1001340952964,20,2022-11-15,9
365,-1001340952964,18,2022-11-16,11
366,-1001340952964,12,2022-11-17,9
367,-1001340952964,18,2022-11-19,11
368,-1001340952964,21,2022-11-20,11
369,-1001340952964,17,2022-11-24,7
370,-1001340952964,17,2022-11-26,7
371,-1001340952964,24,2022-11-28,11
372,-1001340952964,16,2022-12-01,9
373,-1001340952964,16,2022-12-02,8
374,-1001347741522,22,2022-12-12,5
375,-1001347741522,19,2022-12-19,8
376,-1001347741522,18,2022-12-20,7
377,-1001347741522,24,2022-12-22,8
378,-1001347741522,24,2022-12-28,10
379,-1001347741522,22,2022-12-29,15
380,-1001347741522,20,2022-12-31,11
381,-1001347741522,23,2023-01-01,12
382,-1001347741522,22,2023-01-06,11
383,-1001347741522,24,2023-01-11,10
384,-1001355792475,19,2022-09-26,8
385,-1001355792475,15,2022-09-27,6
386,-1001355792475,22,2022-09-30,8
387,-1001355792475,22,2022-10-09,9
388,-1001355792475,23,2022-10-14,10
389,-1001355792475,22,2022-10-20,13
390,-1001355792475,23,2022-11-28,6
391,-1001355792475,20,2022-12-07,8
392,-1001359288171,23,2022-10-03,13
393,-1001359288171,24,2022-10-07,12
394,-1001359288171,18,2022-10-20,8
395,-1001359288171,19,2022-10-27,8
396,-1001359288171,23,2022-11-03,12
397,-1001359288171,22,2022-12-14,17
398,-1001359288171,23,2022-12-20,9
399,-1001359288171,23,2022-12-25,13
400,-1001359288171,22,2023-01-06,13
401,-1001364342229,17,2022-10-09,5
402,-1001364342229,19,2022-10-27,2
403,-1001364342229,16,2022-10-30,3
404,-1001364342229,20,2022-11-02,4
405,-1001364342229,3,2022-11-07,3
406,-1001364342229,22,2022-11-09,3
407,-1001364342229,19,2022-11-15,5
408,-1001364342229,16,2022-11-19,2
409,-1001364342229,23,2022-11-22,3
410,-1001364342229,14,2022-11-25,2
411,-1001364342229,16,2022-11-29,2
412,-1001364342229,22,2022-11-30,4
413,-1001364342229,23,2022-12-04,3
414,-1001364342229,20,2022-12-06,2
415,-1001366587545,20,2022-09-25,13
416,-1001366587545,12,2022-09-26,8
417,-1001366587545,11,2022-09-27,13
418,-1001366587545,19,2022-10-05,18
419,-1001366587545,15,2022-10-06,12
420,-1001366587545,14,2022-10-08,12
421,-1001366587545,13,2022-10-11,11
422,-1001366587545,17,2022-10-18,8
423,-1001366587545,22,2022-10-19,14
424,-1001366587545,23,2022-10-26,24
425,-1001366587545,23,2022-11-13,15
426,-1001375798302,22,2022-09-28,2
427,-1001375798302,18,2022-09-29,1
428,-1001375798302,23,2022-10-01,4
429,-1001375798302,18,2022-10-11,2
430,-1001379217518,21,2022-09-30,4
431,-1001379217518,22,2022-10-01,6
432,-1001379217518,14,2022-10-03,7
433,-1001379217518,19,2022-10-19,8
434,-1001379217518,13,2022-10-21,10
435,-1001379217518,18,2022-10-25,6
436,-1001379217518,21,2022-10-26,9
437,-1001379217518,16,2022-10-30,6
438,-1001379217518,23,2022-10-31,6
439,-1001379217518,20,2022-11-07,4
440,-1001379217518,23,2022-11-08,4
441,-1001379217518,18,2022-11-10,6
442,-1001379217518,21,2022-11-11,6
443,-1001379217518,22,2022-11-28,3
444,-1001379217518,19,2022-12-09,5
445,-1001389233306,21,2022-11-09,11
446,-1001389233306,24,2022-11-11,8
447,-1001389233306,16,2022-11-19,9
448,-1001389233306,22,2022-11-29,10
449,-1001389233306,24,2022-12-08,16
450,-1001389233306,24,2022-12-11,14
451,-1001389233306,21,2022-12-15,13
452,-1001389233306,24,2022-12-16,9
453,-1001389233306,21,2022-12-18,10
454,-1001389233306,17,2022-12-23,12
455,-1001389233306,19,2022-12-24,9
456,-1001389426089,20,2022-12-25,17
457,-1001392633171,20,2022-10-04,8
458,-1001392633171,7,2022-10-25,3
459,-1001392633171,6,2022-10-26,5
460,-1001399016297,12,2022-09-27,10
461,-1001399016297,22,2022-11-15,12
462,-1001399016297,21,2022-11-16,9
463,-1001399016297,24,2022-11-17,9
464,-1001399016297,23,2022-11-28,8
465,-1001399016297,20,2022-12-01,11
466,-1001399016297,18,2022-12-14,6
467,-1001399016297,20,2022-12-19,3
468,-1001399016297,20,2022-12-28,6
469,-1001399016297,23,2023-01-10,12
470,-1001399016297,17,2023-01-13,11
471,-1001399016297,18,2023-01-14,10
472,-1001399100023,23,2023-01-10,9
473,-1001399100023,24,2023-01-11,11
474,-1001407269480,16,2022-10-25,11
475,-1001407269480,19,2022-10-30,11
476,-1001407269480,21,2022-11-05,9
477,-1001407269480,22,2022-11-06,11
478,-1001407269480,21,2022-11-07,8
479,-1001407269480,22,2022-11-09,8
480,-1001407269480,22,2022-11-14,8
481,-1001407269480,22,2022-11-15,5
482,-1001407269480,19,2022-11-18,8
483,-1001407269480,20,2022-11-19,9
484,-1001407269480,21,2022-11-20,5
485,-1001407269480,21,2022-11-23,12
486,-1001407269480,24,2022-11-26,9
487,-1001407269480,21,2022-11-28,11
488,-1001407269480,16,2022-12-09,8
489,-1001407269480,18,2022-12-10,11
490,-1001407269480,17,2022-12-30,10
491,-1001407269480,17,2023-01-11,7
492,-1001407793951,22,2022-10-26,11
493,-1001407793951,24,2022-10-28,14
494,-1001407793951,22,2022-10-29,11
495,-1001407793951,24,2022-11-05,10
496,-1001407793951,23,2022-11-14,11
497,-1001410756924,20,2023-01-08,15
498,-1001410809166,22,2022-11-25,7
499,-1001410809166,19,2022-11-27,8
500,-1001410809166,23,2022-12-14,9
501,-1001410809166,22,2022-12-17,6
502,-1001410809166,18,2022-12-29,11
503,-1001412711321,23,2022-11-04,11
504,-1001412711321,17,2022-11-13,8
505,-1001412711321,19,2022-11-21,11
506,-1001412711321,23,2022-12-01,8
507,-1001412711321,22,2022-12-05,5
508,-1001412711321,23,2022-12-08,3
509,-1001412711321,23,2022-12-12,7
510,-1001412711321,24,2023-01-08,7
511,-1001417100490,21,2022-10-31,2
512,-1001417100490,23,2023-01-08,1
513,-1001418127419,23,2022-10-01,18
514,-1001418127419,24,2022-10-06,16
515,-1001418127419,22,2022-10-09,11
516,-1001418127419,18,2022-10-10,10
517,-1001418127419,22,2022-10-11,13
518,-1001418127419,22,2022-10-15,11
519,-1001418127419,19,2022-10-16,16
520,-1001418127419,19,2022-10-17,13
521,-1001418127419,19,2022-10-18,16
522,-1001418127419,11,2022-10-19,13
523,-1001418127419,22,2022-10-20,15
524,-1001418127419,18,2022-10-21,14
525,-1001418127419,23,2022-10-23,18
526,-1001418127419,20,2022-10-24,13
527,-1001418127419,24,2022-10-25,17
528,-1001418127419,10,2022-10-26,10
529,-1001418127419,11,2022-10-27,12
530,-1001418127419,12,2022-10-29,14
531,-1001418127419,19,2022-10-30,11
532,-1001418127419,19,2022-11-15,13
533,-1001418127419,24,2022-11-17,11
534,-1001418127419,24,2022-12-02,12
535,-1001418165557,20,2023-01-05,11
536,-1001418165557,23,2023-01-06,11
537,-1001418165557,23,2023-01-07,11
538,-1001421704570,24,2022-10-16,11
539,-1001421704570,24,2023-01-14,9
540,-1001438121370,24,2022-12-09,9
541,-1001438121370,15,2022-12-21,7
542,-1001438121370,20,2022-12-22,7
543,-1001438121370,14,2022-12-23,9
544,-1001438121370,20,2022-12-24,6
